Details of the Film,,,,,,,Acquisition details,,,,Rights Owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERNET RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie Name,Cast Details,Director,Language,Release Year,Certification,Color/B/W,Assignor/ Licensor,Licensee,Agreement Start Date,Agreement End Date,Primary Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clip Rights,Duration,Derivative Rights,,Ancillary Rights,,Remarks,Actionables,Satellite TV,,,,,,,Satellite TV History,,,,,,,DTH VOD,,,,,,,Terrestrial TV,,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,,AVOD,,,,,,,,,,,,,
,,,,,,,,,,,Satellite Rights,"Satellite Rights 
Classification",Nature of Satellite Rights,Satellite Rights Territory,"Satellite Rights 
Start Date","Satellite Rights
 End Date",Satellite Rights Syndication,Holdbacks,Internet Rights,"Internet Rights 
Classification",Nature of Internet Rights,Internet Rights Territory,"Internet Rights 
Start Date","Internet Rights 
End Date","
Internet Rights Syndication",Holdbacks,Negative Rights,"Negative Rights 
Classification",Nature of Negative Rights,Negative Rights Territory,"Negative Rights 
Start Date","Negative Rights 
End Date",Negative Rights Syndication,Holdbacks, Airborne Rights,"Airborne Rights 
Classification",Nature of Airborne Rights,Airborne Rights Territory,"Airborne Rights 
Start Date","Airborne Rights 
End Date",Airborne Rights Syndication,Holdbacks,Ship Rights,"Ship Rights 
Classification",Nature of Ship Rights,Ship Rights Territory,"Ship Rights 
Start Date","Ship Rights 
End Date",Ship Rights Syndication,Holdbacks,Other Rights,Other Rights Classification,Nature of Other Rights,Other Rights Territory,"Other Rights 
Start Date","Other Rights 
End Date",Other Rights Syndication,Holdbacks,,,Prequel/ Sequel Rights,Character Rights,Sub-Titling Rights,Dubbing Rights,,,Platform/License,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category, Nature Of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Viacom 18,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Prime Videos,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hotstar,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hoichoi,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hungama,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Platform - Youtube,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks
Aaghat,"Rituparna Sengupta, Prosenjit Chatterjee, June Maliya",Anup Sengupta,Bengali,2001,U,Color,Jalan Distributors,SVF,15-Apr-17,14-Apr-27,Yes,"Cable TV, Pay Rights, DTH",Exclusive,World,15-Apr-17,14-Apr-27,,,Yes,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",Exclusive,World,15-Apr-17,14-Apr-27,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,Yes ,Mobile Telephone,,World,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,Exclusive,1-Apr-23,14-Apr-27,World,,STAR,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,,,,,,,,,,,,,,Yes,,Shared-Exclusive,1-Apr-23,14-Apr-27,World,"FVOD,  Sony, Disney, Zee-owned and affiliated platforms ",,,,,,,,Yes,,Non-Exclusive,14-Dec-17,31-Mar-23,World,"AVOD,FVOD",Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,Viacom,,,,,,,Yes,,,,,,
Aajker MLA,"Rituparna Sengupta, Bijoy Mohanty, Akshay Mohanty",D. Bijaya Bhaskar,Bengali,,,,Echo Entertainment,SVF,1-Nov-10,31-Mar-27,Yes,"Pay TV, DTH",Exclusive,World,1-Nov-10,31-Mar-27,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,World,1-Sep-16,31-Mar-27,Restricted to Satellite owned OTT,,,,,,,,, On Audio Rights & Theatrical Exploitation,Yes,,,World,,,,,Yes,,,World,,,,,Yes ," Hotel Rights, Mechanical Synch Rights, Surface Transport Rights, other Communication & Broadcasting Rights",Exclusive,World,,,,,Yes,,No,No,Yes (All),No,,,Open,,,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aami Aar Amar Girlfriends,"Raima Sen, Swastika Mukherjee, Parno Mitra",Mainak Bhaumik,Bengali,,,Color,Aditya Productions,SVF,31-Aug-18,Perpetual,,,,World,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Exclusive,World,31-Aug-18,Perpetual,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,
Aamra,"Mithun Chakraborty, Pallavi Chatterjee, Ananya Chatterjee, Parambrata Chatterjee",Mainak Bhaumik,Bengali,,,,Bangla Talkies,SVF- Prop,11-Sep-07,10-Sep-24,Yes,"Pay TV, DTH ",Exclusive,World,11-Sep-07,10-Sep-24,,,,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,Yes , Mechanical Synchronization Rights,,World,,,,,Yes,,No,No,Yes (All),No,,,Open,,,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aat Paake Badha,"Vishal, Ruhi, Arpita Baker","Ruby Gupta, Kunal Chowdhury",Bengali,,,,Channel B,SVF,15-Nov-12,13-Nov-32,Yes,,Exclusive,World,15-Nov-12,13-Nov-32,,,Yes,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",Exclusive,World,1-Sep-16,13-Nov-32,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,Open,,,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,
Abhinetri (Repeat),"Tapas Paul, Satabdi Roy",Satabdi Roy,Bengali,,,,Echo Entertainment,SVF,31-Dec-18,30-Dec-21,,,,,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,,31-Dec-18,30-Dec-21,Hoichoi only,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,,,,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhinetri,"Tapas Paul, Satabdi Roy",Satabdi Roy,Bengali,,,,Echo Entertainment,SVF,10-Sep-17,9-Sep-21,,,,,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,,10-Sep-17,9-Sep-21,Hoichoi only,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,,,,Rights Expired,Agreement between SVF & Hoichoi Expired- Content is live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,12-Jul-19,TBD,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abohoman,,Rituporno Ghosh,Bengali,,,,Phantom Films Pvt. Ltd.,SVF,1-Dec-17,30-Nov-20,,,,,,,,,Yes,"SVOD, TVOD",Non-Exclusive,,1-Dec-17,30-Nov-20,Hoichoi only,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aborto,"Dipankar Dey, Mamata Shankar, Jisshu Sengupta, Ananya Chatterjee",Arindam Sil,Bengali,,U/A,Color,Kaleidoscope,SVF,29-Apr-18,Perpetual,,,,World,,,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Exclusive,World,29-Apr-18,Perpetual,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1-Apr-20,TBD,World,,,,,,,,,Open,,,,,,,,,,,,,,Yes,,,,,,
Abosheshe,"Amul Palekar, Dipankar Dey, Partha Mukherjee, Sumitra, Alpana, Devika",Dinen Gupta,Bengali,,,,Echo Entertainment,SVF,1-Jun-10,31-Mar-29,Yes,"Pay TV, DTH",Exclusive,World,1-Jun-10,31-Mar-29,,,Yes,"AVOD, FVOD, SVOD, TVOD, IPTV",Non-Exclusive,World,1-Sep-16,31-Mar-29,Yes,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,Exclusive,,,,,,,,No,No,Yes (All),No,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,STAR,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,,,,,,,,,,,,,,Yes,,Non-Exclusive,1-Apr-23,31-Mar-24,World,FVOD,,,,,,,,Yes,,Non-Exclusive,14-Dec-17,31-Mar-23,World,"AVOD,FVOD",Yes,,,1-Apr-20,TBD,World,,,,,,,,,,,,,,,,Viacom,,,,,,,,,,,,,
