Details of Films,,,,,,,,,,Ownership Details,,,,,,Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERNET RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Satellite TV,,,,,,,Satellite TV History,,,,,,,DTH VOD,,,,,,,Terrestrial TV,,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,,AVOD,,,,,,,,,,,,,,FVOD,,,,,,
Production No,Movie Name,Cast Details,Director,Production House,Language,Release Year,YT Trailer Link,Certification,Color/B/W,Jointly Owned,Jointly Owned by,Revenue Share,Joint Buy Back date,Remarks,Actionables,Platform/License,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category, Nature Of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks ,Platform - Viacom 18,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Prime Videos,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hotstar,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hoichoi,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hungama,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Youtube,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks
51,100% Love,"Jeet, Koel Mallick",Ravi Kinagi,"SVF , Grassroot Entertainment",Bengali,20-Jan-12,N/A,U,,Sold to Grassroot,,,,"100 % rights assigned to Grassroot w.e.f. 16 May, 2023",,N/A,N/A,N/A,N/A,N/A,N/A,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,14-Dec-17,31-Mar-23,World,,N/A,N/A,Non-Exclusive,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
160,Abar Bibaho Obhijan,"Rudranil Ghosh, Nusrat Faria",Soumik Halder,SVF,Bengali,25-May-23,https://www.youtube.com/watch?v=HQtE7sG3jf4&t=30s,U,,No,,,,"STAR holdback (Terrestrial TV, From the release of the film to 27. 08.2023)",,STAR,Star BB,Exclusive,21-Jul-23,20-Jul-30,World,Terrestrial Right (Until first telecast of respective licensed films on channels),N/A,N/A,N/A,N/A,N/A,N/A,,Star,"BB
(DTH Addendum)",Exclusive,21-Jul-23,20-Jul-24,World,,N/A,N/A,N/A,Release of the Film,Until 27-Aug-2023,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,21-Jul-23,20-Jul-24,World,,Yes,N/A,Non-Exclusive,21-Jul-23,20-Jul-28,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
119,Adventures of Jojo ,"Rudranil Ghosh, Yashjit Banerjee",Raj Chakraborty,SVF,Bengali,21-Dec-18,https://www.youtube.com/watch?v=mYcx5T1uqX4,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,10-Apr-24,9-Apr-30,World,,Star,Star BB,Exclusive,11-Apr-19,10-Apr-24,World,2‑month holdback from first telecast,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,10-Apr-24,9-Apr-30,World,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,10-Jul-19,9-Apr-24,World,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
4,Ajab Gayer Ajab Katha,"Soumitra Chatterjee, Debashree Roy",Tapan Sinha,SVF- Prop,Bengali,25-Sep-98,N/A,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
37,Amanush,"Srabanti Chatterjee, Soham Chakraborty",Rajiv Kumar,SVF,Bengali,30-Apr-10,N/A,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Star,"LIBRARY
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
80,Amanush 2,"Soham Chakraborty, Subhashree Ganguly",Rajib Biswas,SVF,Bengali,15-Apr-15,https://www.youtube.com/watch?v=3oUcGS3OIQQ,V/UA,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
100,Amazon Obhijaan,Dev,Kamaleshwar Mukherjee,SVF,Bengali,22-Dec-17,https://youtu.be/H1a9k7Mnpew?si=dXmh3gxY3Hcb4QIK,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,13-Apr-23,11-Apr-29,World,,Star,Star BB,Exclusive,13-Apr-18,12-Apr-23,World,,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,13-Apr-23,11-Apr-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,iTunes,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
100,Amazon Obhijaan (Assamese),Dev,Kamaleshwar Mukherjee,SVF,Assamese,26-Dec-17,https://youtu.be/sWj_d9cU7JA?si=kiLWbvrPYNiMm3s7,U/A,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
100,Amazon Obhijaan (Hindi),Dev,Kamaleshwar Mukherjee,SVF,Hindi,23-Dec-17,https://youtu.be/KfJYCmEPdK8?si=dSkNm3wurMC-qU7b,U/A,,No,,,,"STAR Holdback ( TVOD, From 08.08.2018 to 09.08.2023)",,Open,N/A,N/A,N/A,N/A,N/A,,Star,Hindi Addendum,Exclusive,8-Aug-18,9-Aug-23,World,"Terrestrial Television rights in Hindi dubbed film, either directly or indirectly, during the licensed period",Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,8-Aug-18,9-Aug-23,World,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,8-Aug-18,9-Aug-23,World,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
