,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATELLITE RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,INTERNET RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHERS,,,,,,,,,,,,,,,,,
Movie Name,Assignor/ Licensor,Licensee,Date of Agreement,Primary Rights,,,,Secondary Rights,,Holdbacks,Clip Rights,Duration,Derivative Rights,,Ancillary Rights,,Nature of Rights,,,,Details of Film,,,,,,Agreement Start Date,Agreement End Date,"Satellite Rights
Start Date","Satellite Rights
End Date","Internet Rights
Start Date","Internet Rights
End Date","Negative Rights
Start Date","Negative Rights
End Date","Other Rights
Start Date","Other Rights
End Date","Syndication-
Internet Rights",Remarks,Actionables,Satellite TV,,,,,,Satellite TV History,,,,,,DTH VOD,,,,,,Terrestrial TV,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,AVOD,,,,,,,,,,,,Airborne Rights,,,,,,Surface Rights,,,,,,Ship Rights,,,,,
,,,,Satellite Rights,Internet Rights,Negative Rights,Other Rights,"Satellite Rights
Classification","Internet
Classification",,,,Prequel/ Sequel Rights,Character Rights,Sub-Titling Rights,Dubbing Rights,Nature of Satellite Rights,Nature of Internet Rights,Nature of Negative Rights,Nature of Other Rights,Territory,Cast Details,Director,Release Year,Certification,Color/B/W,,,,,,,,,,,,,,Platform/License,Category,Start Date,End Date,Territory,Nature Of Rights,Platform/License,Category, Start Date, End Date,Territory, Nature Of Rights,Platform/License,Category, Start Date, End Date,Territory,Nature of Rights,Platform/License,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Viacom 18,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Prime Videos,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hotstar,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hoichoi,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hungama,Category,Start Date,End Date,Territory,Nature of Rights,Platform/License,Category,Start Date,End Date, Territory,Nature Of Rights,Platform/License,Category,Start Date,End Date, Territory,Nature Of Rights,Platform - Youtube,Category,Start Date,End Date,Territory,Nature Of Rights,Type - Air Rights,Category,Start Date,End Date,Territory,Nature Of Rights ,Type - Surface Rights,Category,Start Date,End Date,Territory,Nature Of Rights ,Type - Ship Rights,Category,Start Date,End Date,Territory,Nature Of Rights 
Aaghat,Jalan Distributors,SVF,15-Apr-17,Yes,Yes,,Yes ( Mobile Telephone),"Cable TV, Pay Rights, DTH","SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Exclusive,,,World,"Rituparna Sengupta, Prosenjit Chatterjee, June Maliya",Anup Sengupta,2001,U,Color,15-Apr-17,14-Apr-27,15-Apr-17,14-Apr-27,15-Apr-17,14-Apr-27,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,VIACOM 18,Viacom Library,1-Apr-23,14-Apr-27,World,Exclusive,STAR,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,,,,,,,,,,,,Yes,,1-Apr-23,14-Apr-27,World,Shared-Exclusive,,,,,,,Yes,,14-Dec-17,31-Mar-23,World,Non-Exclusive,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,Viacom,,,,,,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Aajker MLA,Echo Entertainment,SVF,1-Nov-10,Yes,Yes,,"Yes ( Airborne Rights, Clip Rights, Hotel Rights, Mechanical Synch Rights, Ship Rights, Surface Transport Rights, other Communication & Broadcasting Rights - excluding Audio Rights & Theatrical Exploitation)","Pay TV, DTH","AVOD, FVOD, SVOD, TVOD, IPTV","on Audio Rights, Theatrical Exploitation",Yes,,No,No,Yes (All),No,Exclusive,Non-Exclusive,,Exclusive,World,"Rituparna Sengupta, Bijoy Mohanty, Akshay Mohanty",D. Bijaya Bhaskar,,,,1-Nov-10,31-Mar-27,1-Nov-10,31-Mar-27,1-Sep-16,31-Mar-27,,,,,Restricted to Satellite owned OTT,,,Open,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open,,,,,,Open,,,,,,Open,,,,,
Aami Aar Amar Girlfriends,Aditya Productions,SVF,13-Apr-18,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,No,Yes (All),No,,Exclusive,,,World,"Raima Sen, Swastika Mukherjee, Parno Mitra",Mainak Bhaumik,,,Color,31-Aug-18,Perpetual,,,31-Aug-18,Perpetual,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Aamra,Bangla Talkies,SVF- Prop,11-Sep-07,Yes,,,Yes (  Mechanical Synchronization Rights),"Pay TV, DTH ",,,Yes,,No,No,Yes (All),No,Exclusive,,,,World,"Mithun Chakraborty, Pallavi Chatterjee, Ananya Chatterjee, Parambrata Chatterjee",Mainak Bhaumik,,,,11-Sep-07,10-Sep-24,11-Sep-07,10-Sep-24,,,,,,,,,,Open,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Aat Paake Badha,Channel B,SVF,15-Nov-12,Yes,Yes,,,,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",,,,No,No,Yes (All),No,Exclusive,Exclusive,,,World,"Vishal, Ruhi, Arpita Baker","Ruby Gupta, Kunal Chowdhury",,,,15-Nov-12,13-Nov-32,15-Nov-12,13-Nov-32,1-Sep-16,13-Nov-32,,,,,Yes,,Agreement between SVF & Hoichoi Expired- Renewal Pending,Open,,,,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1-Apr-20,TBD,World,,,,,,,,Open,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Abhinetri (Repeat),Echo Entertainment,SVF,31-Dec-18,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Tapas Paul, Satabdi Roy",Satabdi Roy,,,,31-Dec-18,30-Dec-21,,,31-Dec-18,30-Dec-21,,,,,Hoichoi only,Rights Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
Abhinetri,Echo Entertainment,SVF,3-Nov-17,,Yes,,,,"AVOD, FVOD, SVOD, TVOD, IPTV",,,,No,,,,,Non-Exclusive,,,,"Tapas Paul, Satabdi Roy",Satabdi Roy,,,,10-Sep-17,9-Sep-21,,,10-Sep-17,9-Sep-21,,,,,Hoichoi only,Rights Expired,Agreement between SVF & Hoichoi Expired- Content is live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,12-Jul-19,TBD,World,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,
