Sl.,Title,Cast,Director,Release Date,YT Trailer Link,Censor,WTP/Library
1,Khela Jawkhon,"Mimi Chakraborty, Arjun Chakraborty, Susmita Chatterjee & Others",Arindam Sil,02 December 2022,https://www.youtube.com/watch?v=pXp6QegNmXc&t=24s,UA,WTP
2,Dilkhush,"Soham Majumdar, Madhumita Sarkar, Paran Bandopadhyay & Others",Chirantan Mukherjee,20 January 2023,https://www.youtube.com/watch?v=I6HoGd_SM-M&t=50s,UA,WTP
3,The Eken - Ruddhoshwash Rajasthan,"Anirban Chakraborty, Rajatava Dutta, Somak Ghosh, Suhotro Mukhopadhyay & Others",Joydeep Mukherjee,14 April 2023,https://www.youtube.com/watch?v=1qJ1r0mdr_U&t=21s,U,WTP
4,Cheeni 2 ,"Madhumita Sarkar, Aparajita Adhya",Mainak Bhaumik,11 August 2023,https://www.youtube.com/watch?v=-f7ISnFAGdM,U,WTP
5,Kabuliwala,"Mithun Chakraborty, Abir Chatterjee, Anumegha Kahali, Sohini Sarkar",Suman Ghosh,22 December 2023,https://www.youtube.com/watch?v=fSIl39TGvFs,U,WTP
6,Athhoi,"Anirban Bhattacharya, Arno Mukherjee, Sohini Sarkar & Others",Arno Mukherjee,14 June 2024,https://www.youtube.com/watch?v=H8kma29OKZw&ab_channel=SVF,UA,WTP
7,Shontaan,"Mithun Chakraborty, Ritwick Chakraborty, Subhashree Ganguly & Others",Raj Chakraborty,20 December 2024,https://www.youtube.com/watch?v=pJ817m2yJAQ&ab_channel=SVF,UA,WTP
8,Sotti Bole Sotti Kichhu Nei,"Ritwick Chakraborty, Parambrata Chatterjee, Arjun Chakraborty",Srijit Mukherji,23 January 2025,https://www.youtube.com/watch?v=GgQQdI9PELE&ab_channel=SVF,Recensor TBD,WTP
9,Pokkhirajer Dim,"Anirban Bhattacharya, Mahabrata Basu, Anumegha Banerjee, Shyamal Chakraborty",Soukarya Ghosal ,13 June 2025,https://www.youtube.com/watch?v=dpqxLosiYgM,U,WTP
10,Killbill Society,"Parambrata Chatterjee, Koushani Mukherjee, Sandipta Sen & Others",Srijit Mukherji,11 April 2025,https://www.youtube.com/watch?v=TLZN1Hwr_oY&ab_channel=SVF,UA,WTP
11,The Eken: Benaras e Bibhishika,"Anirban Chakrabarti, Saswata Chatterjee, Somak Ghosh, Gaurav Chakraborty, Ishaa Saha",Joydip Mukherjee,16 May 2025,https://www.youtube.com/watch?v=QSKc359QGr0,U,WTP
12,Ei Raat Tomar Amaar,"Anjan Dutt, Aparna Sen, Parambrata",Parambrata Chattopadhyay,31 January 2025,https://www.youtube.com/watch?v=J-ihdZuXq0Y,UA,WTP
13,"
Shri Swapankumarer Badami Hyenar Kobole ","Abir Chatterjee, Paran bandhopadhyay, Shruti Das",Debaloy Bhattacharya,12 January 2024,https://www.youtube.com/watch?v=GqTlTwWH67U,U,WTP
