Movie Name,Assignor/ Licensor,Licensee,Date of Agreement,Primary Rights Acquired,Internet Rights - Classification,Secondary Rights,Prequel/ Sequel Rights,Character Rights,Sub-Titling Rights,Dubbing Rights,Nature of Rights,Territory,Cast Details,Director,Release Year,Certification,Color/B/W,Agreement Start Date,Agreement End Date,Satellite Rights Start Date,Satellite Rights End Date,Internet Rights Start Date,Internet Rights End Date,"Syndication- Internet Rights
(Y/N)",Satellite TV License ,Categorization,Satellite TV Start Date,Satellite TV End Date,Satellite TV Territory,Nature of Satellite TV License,Previous Satellite TV Categorization,Previous Satellite TV Start Date,Previous Satellite TV End Date,Previous Satellite TV Territory,Previous Satellite TV Nature,"DTH VOD License
(Open/Channel)",DTH VOD Start Date,DTH VOD End Date,DTH VOD Territory,Nature of DTH VOD License,"TVOD
License",AVOD License,"Viacon 18
[SVOD]","Nature of Rights
(on date)",Start Date,End Date,Territory,"Prime Videos
[SVOD]","Nature of Rights
(on date)",Start Date,End Date,Territory,"Hotstar
 [SVOD]",Nature of Rights ,Start Date,End Date,Territory,"Hoichoi
[Non-Exclusive, SVOD]",Start Date,End Date,Territory,Hungama,Start Date,End Date,Territory,FVOD Holdback,AVOD Holdback,YT,"Air Rights- Exploited
(Open/ Platform)","Surface Rights- Exploited
(Open/ Platform)","Ship Rights- Exploited
(Open/ Platform)",Remarks,Actionables, ,
Aaghat,Jalan Distributors,SVF,15-Apr-17,Satellite & Internet Rights,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV","Cable TV, Mobile Telephone, Pay Rights, DTH",N,N,Yes (All),N,Exclusive,World,"Rituparna Sengupta, Prosenjit, June Maliya & Others ",Anup Sengupta,2001,U,Color,15-Apr-17,14-Apr-27,N/A,N/A,N/A,N/A,Yes,VIACOM 18,Viacom Library,1-Apr-23,14-Apr-27,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,Viacom,Yes,Shared-Exclusive,1-Apr-23,14-Apr-27,World,No,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,14-Dec-17,31-Mar-23,World,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,Yes,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Aajker MLA,Echo Entertainment,SVF,1-Nov-10,Satellite & Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV","Pay TV, DTH, Airborne Rights, Clip Rights, Hotel Rights, Mechanical Synch Rights, Ship Rights, Surface Transport Rights, other Communication & Broadcasting Rights (excluding Audio Rights & Theatrical Exploitation)",N,N,Yes (All),N,"Internet Rights: Non-Exclusive
Other Rights: Exclusive",World,"Rituparna Sengupta, Bijoy Mohanty, Akshay Mohanty & Others",D. Bijaya Bhaskar , , , ,1-Nov-10,31-Mar-27,1-Nov-10,31-Mar-27,1-Sep-16,31-Mar-27,Restricted to Satellite owned OTT,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,Open,Open,Open, , ,,
Aami Aar Amar Girlfriends,Aditya Productions,SVF,13-Apr-18,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N,Yes (All),N,Exclusive,World,"Raima Sen, Swastika Mukherjee, Parno Mitra & Others ",Mainak Bhaumik, , ,Color,31-Aug-18,Perpetual,N/A,N/A,N/A,N/A,Yes,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open, ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Aamra,Bangla Talkies,SVF- Prop,11-Sep-07,Satellite Rights,N/A,"Pay TV, DTH, Mechanical Synchronization Rights, Clip RIghts ",N,N,Yes (All),N,Exclusive,World,"Mithun Chakraborty, Pallavi Chatterjee, Ananya Chatterjee, Parambrato & Others",Mainak Bhaumik, , , ,11-Sep-07,10-Sep-24,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , ,,
Aat Paake Badha,Channel B,SVF,15-Nov-12,Satellite & Internet Rights,"SVOD, AVOD, FVOD, TVOD, NVOD, IPTV",N/A,N,N,Yes (All),N,Exclusive,World,"Vishal, Ruhi, Arpita Baker& Others",:Ruby Gupta and Kunal Chowdhury, , , ,15-Nov-12,13-Nov-32,15-Nov-12,13-Nov-32,1-Sep-16,13-Nov-32,Yes,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open, ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Abhinetri (Repeat),Echo Entertainment,SVF,31-Dec-18,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N/A,N/A,N/A,Non-Exclusive, , , , , , ,31-Dec-18,30-Dec-21,N/A,N/A,N/A,N/A,Hoichoi only,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rights Expired, ,,
Abhinetri (Repeat),Echo Entertainment,SVF,3-Nov-17,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N/A,N/A,N/A,Non-Exclusive, ," Tapash Paul, Satabdi Roy & Others ",Satabdi Roy, , , ,10-Sep-17,9-Sep-21,N/A,N/A,N/A,N/A,Hoichoi only,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,12-Jul-19,TBD,World,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rights Expired,Agreement between SVF & Hoichoi Expired- Content is live,,
Abohoman,Phantom Films Pvt. Ltd.,SVF,3-Jul-17,Internet Rights,"SVOD, TVOD",N/A,N/A,N/A,N/A,N/A,Non-Exclusive, , , , , , ,1-Dec-17,30-Nov-20,N/A,N/A,N/A,N/A,Hoichoi only,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rights Expired, ,,
Aborto,Kaleidoscope,SVF,3-Apr-18,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N,Yes (All),N,Exclusive,World,"Jaya Ahsan, Locket Chatterjee, Tota Ray Chowdhury, Abir Chatterjee, & Others ",Arindam Sil, ,U/A,Color,29-Apr-18,Perpetual,N/A,N/A,N/A,N/A,Yes,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open, ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,Yes,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Abosheshe ,Echo Entertainment,SVF,1-Jun-10,Satellite & Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV","Pay TV, DTH",N,N,Yes (All),N,"Internet Rights: Non-Exclusive
Other Rights: Exclusive",World,"Amul Palekar, Deepankar Dey, Partha Mukherjee, Sumitra, Alpana & Devika",Dinen Gupta, , , ,1-Jun-10,31-Mar-29,1-Jun-10,31-Mar-29,1-Sep-16,31-Mar-29,Yes,VIACOM 18,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,Viacom,Yes,Non-Exclusive,1-Apr-23,31-Mar-24,World,N/A,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,14-Dec-17,31-Mar-23,World,Yes,1-Apr-20,TBD,World,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Abosheshey,Echo Entertainment,SVF,15-Jul-20,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N,Yes (All),N/A,Exclusive,World,"Raima Sen, Rupa Ganguly and others ",Aditi Roy,2011,U,Color,22-Aug-20,21-Aug-25,N/A,N/A,N/A,N/A,Yes,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open, ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A, ,Agreement between SVF & Hoichoi Expired- Renewal Pending,,
Accident,RP Techvision Private Limited,SVF,17-Oct-17,Internet Rights,"AVOD, FVOD, SVOD, TVOD, IPTV",N/A,N,N,Yes (All),N,Non-Exclusive,World,"Rudranil Ghosh, Sabyasachi Chakrabarty & Others ","Nandita Roy, Siboprosad Mukherjee", , , ,20-Dec-17,19-Dec-22,N/A,N/A,N/A,N/A,Hoichoi only,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,20-Dec-17,19-Dec-22,World,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , ,,
