Production No,Title,Cast,Director,Language,Production House,Theatrical Release Date,YT Trailer Link,Censor,Nature of Right,"Satellite TV License
(Open/Channel)",Category,Satellite TV Start Date,Satellite TV End Date,Satellite TV Territory,Nature of Satellite TV License,Previous Satellite TV Categorization,Previous Satellite TV Start Date,Previous Satellite TV End Date,Previous Satellite TV Territory,Previous Satellite TV Nature,"DTH VOD License
(Open/Channel)",DTH VOD Start Date,DTH VOD End Date,DTH VOD Territory,Nature of DTH VOD License,"Terrestrial TV License
[Open/Channel]","Terrestrial Tv [Holdback]
Start Date","Terrestrial TV
[Holdback]
End Date",Terrestrial TV Territory,Nature of Terrestrial TV Rights,"Viacon 18
[SVOD]","Nature of Rights
(on date)",Start Date,End Date,Territory,"Prime Videos
[SVOD]","Nature of Rights
(on date)",Category,Start Date,End Date,Territory,"Hotstar
 [SVOD]",Nature of Rights ,Start Date,End Date,Territory,"Hoichoi
[Non-Exclusive, SVOD]",Start Date,End Date,Territory,Hungama,Start Date,End Date,Territory,"TVOD
License",TVOD Start Date,TVOD End Date,TVOD Territory,FVOD Holdback,AVOD License,AVOD Start Date,AVOD End Date,AVOD Territory,AVOD Holdback,YT,Others,Rights Granted,Nature of Rights Granted,Start Date,End Date,Territory,Remarks,Actionable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
1,Bhai Amar Bhai,"Sujay Ghosh, Anindya Chatterjee, Arpita Chatterjee, Sibaji Bandyopadhyay, Indraneil Sengupta, Sanjay Nag & others",Swapan Saha,Bengali,SVF- Prop,10-May-96,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sakhi Tumi Kar," Abhishek Chatterjee, Prosenjit Chatteerjee, Satabdi Roy",Swapan Saha,Bengali,SVF- Prop,18-Oct-96,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mayer Bandhan," Prosenjit Chatterjee, Srabanti, Rituparna Sengupta, Shatabdi Roy, Ravi Ghosh, Soham Chakraborty",Swapan Saha,Bengali,SVF- Prop,15-Aug-97,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ajab Gayer Ajab Katha," Soumitra Chatterjee, Debashree Roy",Tapan Sinha,Bengali,SVF- Prop,25-Sep-98,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nag Nagini," Rituparna Sengupta, Abhishek Chatterjee",Swapan Saha,Bengali,SVF- Prop,25-Sep-98,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ranakshetra," Ranjit Mullick, Prosenjit Chatterjee, Dipankar Dey, Satabdi Roy",Haranath Chakraborty,Bengali,SVF- Prop,25-Sep-98,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gariber Raja Robin Hood," Danny Sidak, Satabdi Roy",Shahin Alam,Bengali,SVF- Prop,16-Apr-99,N/A,U,Exclusive,QC Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tumi Eley Tai," Prosenjit Chatterjee, Arpita Pal, Rituparna Sengupta, Tapas Pal",Prabhat Roy,Bengali,SVF- Prop,18-Jul-99,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Shatru Dhangso," Bhagyashree, Shakil Khan, Ilias Kanchan",Chotku Ahmed,Bengali,SVF- Prop,15-Oct-99,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sasur Bari Zindabad," Prosenjit Chatterjee, Rituparna Sengupta, Ranjit Mallick​",Haranath Chakraborty,Bengali,SVF- Prop,14-Apr-00,N/A,U,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,1-Apr-20,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
